BS_ID	SQ_Value
BS_014EVM2D	NantOmics
BS_02NZT8CE	NantOmics
BS_03FT4S8B	NantOmics
BS_0448A413	NantOmics
BS_044XZ8ST	NantOmics
BS_052PZFMK	BGI@CHOP Genome Center
BS_063ERW0R	NantOmics
BS_06AMMCXR	NantOmics
BS_06XH7EVF	NantOmics
BS_07ANYSYQ	NantOmics
BS_09R7GDA7	BGI@CHOP Genome Center
BS_09Z7TC35	NantOmics
BS_0BXY0F9N	NantOmics
BS_0C7VZC0A	NantOmics
BS_0GDJQANN	NantOmics
BS_0HW7W7SD	NantOmics
BS_0J9SHHSC	NantOmics
BS_0QYS36NR	NantOmics
BS_0RF0EZTV	NantOmics
BS_0RQ4P069	NantOmics
BS_0SCXXM6N	NantOmics
BS_0SPCTBZY	NantOmics
BS_0T17SY47	NantOmics
BS_0VRSD9V3	NantOmics
BS_0VXZCRJS	BGI@CHOP Genome Center
BS_0WQJP6ZG	BGI@CHOP Genome Center
BS_0WVJYM9R	NantOmics
BS_0X9EGHY2	NantOmics
BS_0XEG6SNV	NantOmics
BS_0Y66ZBWE	NantOmics
BS_0ZA67BBC	The Translational Genomics Research Institute
BS_1021ZGQT	NantOmics
BS_10APZRVT	NantOmics
BS_11WY983P	NantOmics
BS_13CGKADW	NantOmics
BS_15ETQ0E4	NantOmics
BS_1607397Q	NantOmics
BS_17WYVEEC	NantOmics
BS_196BBNEJ	NantOmics
BS_1A6MQ9ZA	BGI@CHOP Genome Center
BS_1AYRM596	NantOmics
BS_1BWP5MCT	NantOmics
BS_1D6PZNKN	NantOmics
BS_1EBQ3T20	NantOmics
BS_1EN5V3XW	NantOmics
BS_1G3WYEN3	NantOmics
BS_1HFK0SXV	NantOmics
BS_1HQ76V6D	BGI@CHOP Genome Center
BS_1J2WQ08M	NantOmics
BS_1JDG6JV5	NantOmics
BS_1KYGSMA7	NantOmics
BS_1N7MQZGR	The Translational Genomics Research Institute
BS_1N9XZXGE	NantOmics
BS_1NPD7PVG	NantOmics
BS_1QNTEZPS	NantOmics
BS_1QXEC43H	NantOmics
BS_1RT76ANT	NantOmics
BS_1RXZ3BP7	NantOmics
BS_1SVVER1H	NantOmics
BS_1T19NFJ8	NantOmics
BS_1TPWFSK6	NantOmics
BS_1TWCV047	NantOmics
BS_1XJ73KBQ	NantOmics
BS_1ZVXF5FE	NantOmics
BS_21ET39G7	The Translational Genomics Research Institute
BS_21RE8W46	NantOmics
BS_23M72ABG	NantOmics
BS_23QW0BBA	NantOmics
BS_23W9EPFE	NantOmics
BS_24AHZ9ZW	NantOmics
BS_258RRGDM	NantOmics
BS_25T139TX	NantOmics
BS_264RCK7G	NantOmics
BS_273HKCT4	NantOmics
BS_27QE6BV7	NantOmics
BS_28CDASF7	NantOmics
BS_29006KEX	NantOmics
BS_29CPJ040	NantOmics
BS_29X4ZX6Q	NantOmics
BS_2A162JH9	NantOmics
BS_2A5R9MEJ	NantOmics
BS_2ADZNNV4	NantOmics
BS_2AR3AP0N	NantOmics
BS_2EMW8ZG3	NantOmics
BS_2EN3X6HB	BGI@CHOP Genome Center
BS_2HN96129	NantOmics
BS_2JP7RBMB	The Translational Genomics Research Institute
BS_2KJ2YAZR	NantOmics
BS_2R9TCR03	NantOmics
BS_2SFTWNVE	NantOmics
BS_2SHWPB5P	NantOmics
BS_2W3NC4K1	NantOmics
BS_2WPQ8YCW	NantOmics
BS_2XD3MNKD	NantOmics
BS_2YCJV2VV	NantOmics
BS_2Z1MKS84	NantOmics
BS_30VC3R2Q	NantOmics
BS_31TF0P1N	NantOmics
BS_34201DKZ	NantOmics
BS_37GTVG4N	NantOmics
BS_398KYV92	NantOmics
BS_399RPKC9	NantOmics
