BS_ID	SQ_Value
BS_014EVM2D	NantOmics
BS_03FT4S8B	NantOmics
BS_0448A413	NantOmics
BS_044XZ8ST	NantOmics
BS_063ERW0R	NantOmics
BS_06AMMCXR	NantOmics
BS_06XH7EVF	NantOmics
BS_07ANYSYQ	NantOmics
BS_09R7GDA7	BGI@CHOP Genome Center
BS_09Z7TC35	NantOmics
BS_0BXY0F9N	NantOmics
BS_0D3SCV7P	NOT REPORTED
BS_0J9SHHSC	NantOmics
BS_0SC4QNTM	NOT REPORTED
BS_0SCXXM6N	NantOmics
BS_0SPCTBZY	NantOmics
BS_0T17SY47	NantOmics
BS_0VXZCRJS	BGI@CHOP Genome Center
BS_0WQJP6ZG	BGI@CHOP Genome Center
BS_0WVJYM9R	NantOmics
BS_0XEG6SNV	NantOmics
BS_0YPDAAE8	NOT REPORTED
BS_10APZRVT	NantOmics
BS_10MQQC5C	NOT REPORTED
BS_11WY983P	NantOmics
BS_135GYQQD	NOT REPORTED
BS_13CGKADW	NantOmics
BS_15ED4VDX	NOT REPORTED
BS_1607397Q	NantOmics
BS_17WYVEEC	NantOmics
BS_196BBNEJ	NantOmics
BS_19PXZ71B	NOT REPORTED
BS_1A6MQ9ZA	BGI@CHOP Genome Center
BS_1AYRM596	NantOmics
BS_1BKHK7AY	NOT REPORTED
BS_1BWP5MCT	NantOmics
BS_1D6PZNKN	NantOmics
BS_1EBQ3T20	NantOmics
BS_1HFK0SXV	NantOmics
BS_1HQ76V6D	BGI@CHOP Genome Center
BS_1J2WQ08M	NantOmics
BS_1KYGSMA7	NantOmics
BS_1N7MQZGR	The Translational Genomics Research Institute
BS_1N9XZXGE	NantOmics
BS_1QXEC43H	NantOmics
BS_1SVVER1H	NantOmics
BS_1T19NFJ8	NantOmics
BS_1TPWFSK6	NantOmics
BS_1TWCV047	NantOmics
BS_1XJ73KBQ	NantOmics
BS_1ZVXF5FE	NantOmics
BS_21ET39G7	The Translational Genomics Research Institute
BS_21RE8W46	NantOmics
BS_23M72ABG	NantOmics
BS_23QW0BBA	NantOmics
BS_258RRGDM	NantOmics
BS_27QE6BV7	NantOmics
BS_28ZRHXX8	NOT REPORTED
BS_29X4ZX6Q	NantOmics
BS_2A162JH9	NantOmics
BS_2ADZNNV4	NantOmics
BS_2AR3AP0N	NantOmics
BS_2EMW8ZG3	NantOmics
BS_2EN3X6HB	BGI@CHOP Genome Center
BS_2JP7RBMB	The Translational Genomics Research Institute
BS_2SFTWNVE	NantOmics
BS_2W3NC4K1	NantOmics
BS_2WPQ8YCW	NantOmics
BS_2XD3MNKD	NantOmics
BS_2XTH5QRD	NOT REPORTED
BS_2Y28PRQC	NOT REPORTED
BS_31TF0P1N	NantOmics
BS_323GG6M7	NOT REPORTED
BS_34201DKZ	NantOmics
BS_37GTVG4N	NantOmics
BS_398KYV92	NantOmics
BS_39CGACC7	NantOmics
BS_3AC3SRWH	BGI@CHOP Genome Center
BS_3BDAG9YN	BGI@CHOP Genome Center
BS_3BVVWHP5	NantOmics
BS_3CSY3JTN	NOT REPORTED
BS_3CTRC269	NOT REPORTED
BS_3DCBDJAT	NantOmics
BS_3DJBSNGE	NOT REPORTED
BS_3F4FQJMR	BGI@CHOP Genome Center
BS_3J85TTZM	NantOmics
BS_3KGHX57D	NOT REPORTED
BS_3MS8WVNR	NantOmics
BS_3NWQXPQV	NantOmics
BS_3P20Q2C3	NantOmics
BS_3Q0GTSYH	NantOmics
