TYPE_OF_CANCER_ID	NAME	CLINICAL_TRIAL_KEYWORDS	DEDICATED_COLOR	SHORT_NAME	PARENT
aa	Aggressive Angiomyxoma	aggressive angiomyxoma	LightYellow	AA	soft_tissue
aastr	Anaplastic Astrocytoma	anaplastic astrocytoma	Gray	AASTR	difg
abc	Activated B-cell Type	activated b-cell type	LimeGreen	ABC	dlbclnos
abl	Acute Basophilic Leukemia	acute basophilic leukemia	LightSalmon	ABL	amlnos
aca	Adrenocortical Adenoma	adrenocortical adenoma	Purple	ACA	adrenal_gland
acbc	Adenoid Cystic Breast Cancer	adenoid cystic breast cancer	HotPink	ACBC	brca
acc	Adrenocortical Carcinoma	adrenocortical carcinoma	Purple	ACC	adrenal_gland
accc	Acinic Cell Carcinoma	acinic cell carcinoma	DarkRed	ACCC	saca
acml	Atypical Chronic Myeloid Leukemia, BCR-ABL1-	atypical chronic myeloid leukemia, bcr-abl1-	LightSalmon	ACML	mds/mpn
acn	Acinar Cell Carcinoma, NOS	acinar cell carcinoma, nos	Black	ACN	cup
acpg	Craniopharyngioma, Adamantinomatous Type	craniopharyngioma, adamantinomatous type	Gray	ACPG	selt
acpp	Atypical Choroid Plexus Papilloma	atypical choroid plexus papilloma	Gray	ACPP	cpt
acrm	Acral Melanoma	acral melanoma	Black	ACRM	mel
acyc	Adenoid Cystic Carcinoma	adenoid cystic carcinoma	DarkRed	ACYC	saca
adma	Adamantinoma	adamantinoma	White	ADMA	bone
adnos	Adenocarcinoma, NOS	adenocarcinoma, nos	Black	ADNOS	cup
adpa	Aggressive Digital Papillary Adenocarcinoma	aggressive digital papillary adenocarcinoma	Black	ADPA	skin
adrenal_gland	Adrenal Gland	adrenal gland	Purple	ADRENAL_GLAND	tissue
aeca	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	sweat gland carcinoma/apocrine eccrine carcinoma	Black	AECA	skin
afh	Angiomatoid Fibrous Histiocytoma	angiomatoid fibrous histiocytoma	LightYellow	AFH	soft_tissue
afx	Atypical Fibroxanthoma	atypical fibroxanthoma	Black	AFX	skin
aga	Anal Gland Adenocarcinoma	anal gland adenocarcinoma	SaddleBrown	AGA	bowel
agng	Anaplastic Ganglioglioma	anaplastic ganglioglioma	Gray	AGNG	encg
ahcd	Alpha Heavy-Chain Disease	alpha heavy-chain disease	LimeGreen	AHCD	mbn
ais	Adenocarcinoma In Situ	adenocarcinoma in situ	Black	AIS	other
aitl	Angioimmunoblastic T-Cell Lymphoma	angioimmunoblastic t-cell lymphoma	LimeGreen	AITL	mtnn
alal	Acute Leukemias of Ambiguous Lineage	acute leukemias of ambiguous lineage	LightSalmon	ALAL	mnm
alcl	Anaplastic Large Cell Lymphoma	anaplastic large cell lymphoma	LimeGreen	ALCL	mtnn
alclalkn	Anaplastic Large-Cell Lymphoma ALK Negative	anaplastic large-cell lymphoma alk negative	LimeGreen	ALCLALKN	alcl
alclalkp	Anaplastic Large-Cell Lymphoma ALK Positive	anaplastic large-cell lymphoma alk positive	LimeGreen	ALCLALKP	alcl
alklbcl	ALK Positive Large B-Cell Lymphoma	alk positive large b-cell lymphoma	LimeGreen	ALKLBCL	mbn
aluca	Atypical Lung Carcinoid	atypical lung carcinoid	Gainsboro	ALUCA	lnet
am	AML with Maturation	aml with maturation	LightSalmon	AM	amlnos
ambl	Large Cell/Anaplastic Medulloblastoma	large cell/anaplastic medulloblastoma	Gray	AMBL	embt
amkl	Acute Megakaryoblastic Leukemia	acute megakaryoblastic leukemia	LightSalmon	AMKL	amlnos
aml	Acute Myeloid Leukemia	acute myeloid leukemia	LightSalmon	AML	mnm
amlbcrabl1	AML with BCR-ABL1	aml with bcr-abl1	LightSalmon	AMLBCRABL1	amlrga
amlcbfbmyh11	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11	aml with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);cbfb-myh11	LightSalmon	AMLCBFBMYH11	amlrga
amlcebpa	AML with Biallelic Mutations of CEBPA	aml with biallelic mutations of cebpa	LightSalmon	AMLCEBPA	amlrga
amldeknup214	AML with t(6;9)(p23;q34.1);DEK-NUP214	aml with t(6;9)(p23;q34.1);dek-nup214	LightSalmon	AMLDEKNUP214	amlrga
amlgata2mecom	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	aml with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); gata2, mecom	LightSalmon	AMLGATA2MECOM	amlrga
amlmd	AML with Minimal Differentiation	aml with minimal differentiation	LightSalmon	AMLMD	amlnos
amlmllt3kmt2a	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A	aml with t(9;11)(p21.3;q23.3);mllt3-kmt2a	LightSalmon	AMLMLLT3KMT2A	amlrga
amlmrc	AML with Myelodysplasia-Related Changes	aml with myelodysplasia-related changes	LightSalmon	AMLMRC	aml
amlnos	AML, NOS	aml, nos	LightSalmon	AMLNOS	aml
amlnpm1	AML with Mutated NPM1	aml with mutated npm1	LightSalmon	AMLNPM1	amlrga
amlrbm15mkl1	AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1	aml (megakaryoblastic) with t(1;22)(p13.3;q13.3);rbm15-mkl1	LightSalmon	AMLRBM15MKL1	amlrga
amlrga	AML with Recurrent Genetic Abnormalities	aml with recurrent genetic abnormalities	LightSalmon	AMLRGA	aml
amlrunx1	AML with Mutated RUNX1	aml with mutated runx1	LightSalmon	AMLRUNX1	amlrga
amlrunx1runx1t1	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1	aml with t(8;21)(q22;q22.1);runx1-runx1t1	LightSalmon	AMLRUNX1RUNX1T1	amlrga
amml	Acute Myelomonocytic Leukemia	acute myelomonocytic leukemia	LightSalmon	AMML	amlnos
amol	Acute Monoblastic/Monocytic Leukemia	acute monoblastic/monocytic leukemia	LightSalmon	AMOL	amlnos
