ENTREZ_GENE_ID	HUGO_GENE_SYMBOL
100506173	1060P11.3
6775087	12S RRNA
8923213	12S RRNA
8923219	16S RRNA
109951028	A-GAMMA3'E
1	A1BG
503538	A1BG-AS1
29974	A1CF
2	A2M
144571	A2M-AS1
144568	A2ML1
100874108	A2ML1-AS1
106478979	A2ML1-AS2
3	A2MP1
-69689	A2M_PS710
-2078	A2M_PT118_T119
127550	A3GALT2
53947	A4GALT
51146	A4GNT
100506677	AA06
100034700	AA1
100034703	AA2
100329167	AAA1
100505390	AAA2
100188857	AAA3
100859927	AAA4
8086	AAAS
-6699	AAAS_PS462
-37228	AAAS_PS489_S508
-75998	AAAS_PS492_S508
-93812	AAAS_PS495
-27655	AAAS_PS508
-93813	AAAS_PS525
-93814	AAAS_PS541
-53821	AAAS_PT488_S508
-33335	AAAS_PT491_S508
-39476	AAAS_PT57
-73639	AAAS_PY31
8212	AABT
65985	AACS
729522	AACSP1
-22757	AACS_PS618
-47133	AACS_PT543
13	AADAC
344752	AADACL2
101928142	AADACL2-AS1
126767	AADACL3
343066	AADACL4
201651	AADACP1
51166	AADAT
79719	AAGAB
-50201	AAGAB_PS310
-26994	AAGAB_PS310_S311
-48522	AAGAB_PS311
-27540	AAGAB_PT191
-41040	AAGAB_PT278
22848	AAK1
-14006	AAK1_PS14
-14007	AAK1_PS18
-47384	AAK1_PS20
-14008	AAK1_PS21
-88348	AAK1_PS26
-14012	AAK1_PS618
-40008	AAK1_PS618_S623
-40010	AAK1_PS618_S624
-40294	AAK1_PS618_T620
-23142	AAK1_PS623
-88349	AAK1_PS624
-14014	AAK1_PS637
-66448	AAK1_PS642
-14016	AAK1_PS652
-51359	AAK1_PS664
-88350	AAK1_PS668
-22746	AAK1_PS668_S676
-45109	AAK1_PS668_S678
-88351	AAK1_PS670
-57540	AAK1_PS670_S676
-36644	AAK1_PS670_S678
-75359	AAK1_PS670_T672
-29772	AAK1_PS676
-29779	AAK1_PS678
-36317	AAK1_PS682
-59290	AAK1_PS731
-65548	AAK1_PS846
-88352	AAK1_PT27
-14009	AAK1_PT354
-44867	AAK1_PT389
-14010	AAK1_PT605
-14011	AAK1_PT606
-14013	AAK1_PT620
-14015	AAK1_PT640
-36205	AAK1_PT653
-59521	AAK1_PT65_S66
-50606	AAK1_PT672
-51261	AAK1_PT673
-88353	AAK1_PT674
28971	AAMDC
-51049	AAMDC_PS33
-17137	AAMDC_PS46
-44483	AAMDC_PS79
-52331	AAMDC_PT35
-35718	AAMDC_PT41
-35716	AAMDC_PT43
14	AAMP
15	AANAT
25980	AAR2
441376	AARD
16	AARS
57505	AARS2
80755	AARSD1
106480683	AARSP1
-68635	AARS_PS249
-21749	AARS_PS399
-9370	AARS_PS555
-46232	AARS_PS775
-9371	AARS_PT785
132949	AASDH
60496	AASDHPPT
-51446	AASDH_PS624
10157	AASS
544317	AASTH1
544603	AASTH10
544584	AASTH11
544579	AASTH12
544583	AASTH13
544567	AASTH14
544597	AASTH15
544596	AASTH16
544573	AASTH17
544595	AASTH18
544589	AASTH19
544446	AASTH2
544565	AASTH20
544569	AASTH21
544602	AASTH22
544580	AASTH23
544600	AASTH24
544570	AASTH25
544576	AASTH26
544592	AASTH27
553147	AASTH28
553142	AASTH29
544441	AASTH3
544560	AASTH30
544561	AASTH31
553145	AASTH32
544588	AASTH33
544564	AASTH34
544574	AASTH35
544585	AASTH36
544598	AASTH37
544575	AASTH38
544572	AASTH39
544440	AASTH4
544566	AASTH40
553146	AASTH41
544582	AASTH42
544590	AASTH43
544594	AASTH44
544599	AASTH45
544601	AASTH46
544571	AASTH47
544563	AASTH48
544577	AASTH49
544434	AASTH5
544578	AASTH50
544587	AASTH51
544562	AASTH52
544593	AASTH53
544586	AASTH54
544581	AASTH55
553144	AASTH56
544423	AASTH6
544425	AASTH7
544591	AASTH8
544568	AASTH9
252842	AAT1
252843	AAT2
284837	AATBC
26574	AATF
-41536	AATF_PS150
-41537	AATF_PS153
-66011	AATF_PS203
-93984	AATF_PS316
-36418	AATF_PS316_S320_S321
-93985	AATF_PS320
-93986	AATF_PS321
-76470	AATF_PS61
-93987	AATF_PT310
9625	AATK
17	AAVS1
103021294	ABALON
18	ABAT
19	ABCA1
10349	ABCA10
79963	ABCA11P
26154	ABCA12
154664	ABCA13
650655	ABCA17P
-83516	ABCA1_PS1145
-11897	ABCA1_PS1296
-11899	ABCA1_PS2234
-11895	ABCA1_PS884
-11896	ABCA1_PT1261
-11898	ABCA1_PT1512_Y1513_S1520
-83517	ABCA1_PT2240
20	ABCA2
-51644	ABCA2_PS1323_S1332
-93070	ABCA2_PS1327
-73987	ABCA2_PS1328
-73453	ABCA2_PS1328_S1332
-93071	ABCA2_PS1331
-64987	ABCA2_PS1411
-20155	ABCA2_PS2395
-69700	ABCA2_PS959
-73522	ABCA2_PT1081_Y1089_S1090
-93072	ABCA2_PT2412
-49447	ABCA2_PT2413
21	ABCA3
-56641	ABCA3_PS508
-27217	ABCA3_PS866
-49655	ABCA3_PT1344
-92631	ABCA3_PY206
24	ABCA4
23461	ABCA5
23460	ABCA6
10347	ABCA7
10351	ABCA8
10350	ABCA9
104355297	ABCA9-AS1
5243	ABCB1
23456	ABCB10
56476	ABCB10P1
728248	ABCB10P3
100132289	ABCB10P4
8647	ABCB11
-83967	ABCB1_PS671
-83968	ABCB1_PS675
5244	ABCB4
340273	ABCB5
10058	ABCB6
-12045	ABCB6_PS61
-93679	ABCB6_PS755
22	ABCB7
11194	ABCB8
23457	ABCB9
-93691	ABCB9_PS571
-93692	ABCB9_PY573
-93693	ABCB9_PY577
4363	ABCC1
89845	ABCC10
85320	ABCC11
94160	ABCC12
150000	ABCC13
-46649	ABCC1_PS915
-74946	ABCC1_PS915_S918
-46648	ABCC1_PS916
-51551	ABCC1_PS916_S917
-46647	ABCC1_PS917
-11465	ABCC1_PS918
-46658	ABCC1_PS919
-47393	ABCC1_PS921
-11466	ABCC1_PS930
-38448	ABCC1_PY1298
-71737	ABCC1_PY920
1244	ABCC2
8714	ABCC3
-74516	ABCC3_PS281
-73573	ABCC3_PS908
-50374	ABCC3_PS908_S911
-36880	ABCC3_PS911
-36879	ABCC3_PS912
-82563	ABCC3_PY852
10257	ABCC4
-12166	ABCC4_PS404
-12168	ABCC4_PS655
-51200	ABCC4_PS658
-12169	ABCC4_PS661
-12170	ABCC4_PS664
-12171	ABCC4_PS665
-82564	ABCC4_PS668
-12167	ABCC4_PT646
10057	ABCC5
100873982	ABCC5-AS1
-59711	ABCC5_PS501
-21073	ABCC5_PS501_S509
-42675	ABCC5_PS502
-55956	ABCC5_PS502_S509
-58262	ABCC5_PS558
-54956	ABCC5_PS64
-43512	ABCC5_PS64_S67
-19548	ABCC5_PS67
368	ABCC6
653190	ABCC6P1
730013	ABCC6P2
6833	ABCC8
10060	ABCC9
215	ABCD1
23785	ABCD1P1
26983	ABCD1P2
26982	ABCD1P3
26957	ABCD1P4
642762	ABCD1P5
-85008	ABCD1_PS733
225	ABCD2
5825	ABCD3
-10238	ABCD3_PS40
5826	ABCD4
6059	ABCE1
-3725	ABCE1_PS328
-3726	ABCE1_PS582
-61658	ABCE1_PT42
