ENTREZ_GENE_ID	HUGO_GENE_SYMBOL	GENETIC_ENTITY_ID	TYPE	CYTOBAND	LENGTH
-1977	PRKCA_PS664	45407	phosphoprotein	17q22-q23.2	NULL
-1976	MAPK8_PT183_Y185	35453	phosphoprotein	10q11.22	NULL
-1975	WWTR1_PS89	60392	phosphoprotein	3q23-q24	NULL
-1974	ERBB3_PY1298	8317	phosphoprotein	12q13	NULL
-1973	EGFR_PY992	7876	phosphoprotein	7p12	NULL
-1972	EIF4EBP1_PT37	8025	phosphoprotein	8p12	NULL
-1971	RET_PY905	46695	phosphoprotein	10q11.2	NULL
-1970	GYS1_PS641	11365	phosphoprotein	19q13.3	NULL
-1969	PRRT2_PS660	45597	phosphoprotein	16p11.2	NULL
-1968	PTPN11_PY542	45922	phosphoprotein	12q24	NULL
-1967	CHEK1_PS296	4826	phosphoprotein	11q24.2	NULL
-1966	BRAF_PS445	2691	phosphoprotein	7q34	NULL
-1965	CDK1_PY15	4404	phosphoprotein	10q21.1	NULL
-1964	TSC2_PT1462	58826	phosphoprotein	16p13.3	NULL
-1963	RICTOR_PT1135	46870	phosphoprotein	5p13.1	NULL
-1962	PRKCB_PS660	45409	phosphoprotein	16p11.2	NULL
-1961	PEA15_PS116	44015	phosphoprotein	1q21.1	NULL
-1960	CDKN1B_PT198	4437	phosphoprotein	12p13.1-p12	NULL
-1959	NDRG1_PT346	41273	phosphoprotein	8q24.3	NULL
-1958	MYH9_PS1943	40868	phosphoprotein	22q13.1	NULL
-1957	GSK3B_PS9	11196	phosphoprotein	3q13.3	NULL
-1956	GSK3A_PS9	11193	phosphoprotein	19q13.2	NULL
-1955	FOXO3_PS318_S321	9786	phosphoprotein	6q21	NULL
-1954	BAD_PS112	2208	phosphoprotein	11q13.1	NULL
-1953	ARAF_PS299	1427	phosphoprotein	Xp11.4-p11.2	NULL
-1952	EIF4EBP1_PT70	8027	phosphoprotein	8p12	NULL
-1951	YBX1_PS102	60501	phosphoprotein	1p34	NULL
-1950	YAP1_PS127	60486	phosphoprotein	11q13	NULL
